Timestamp,Engine RPM,Box RPM
67508576, 3005, 334
67523572, 3017, 334
67534256, 3017, 330
67540900, 2995, 330
67558108, 3016, 330
67559812, 3016, 331
67575356, 3009, 331
67584940, 3009, 336
67592548, 3019, 336
67609768, 3015, 336
67611452, 3015, 319
67626932, 3024, 319
67644156, 3014, 359
67660120, 3014, 337
67678688, 1503, 337
67685332, 1503, 336
67695968, 3004, 336
67710728, 3004, 333
67713260, 3002, 333
67730476, 3015, 333
67747740, 3007, 337
67760532, 3007, 342
67764916, 3022, 342
67782476, 2956, 342
67800400, 2896, 336
67811204, 2896, 332
67818552, 2860, 332
67837004, 2813, 332
67838696, 2813, 308
67855580, 2794, 308
67863092, 2794, 347
67874420, 2755, 347
67888980, 2755, 327
67893404, 2734, 327
67912592, 2705, 327
67931964, 2680, 328
67940492, 2680, 329
67951544, 2651, 329
67966480, 2651, 325
67971268, 2631, 325
67991132, 2613, 325
67992836, 2613, 321
68011140, 2594, 321
68018688, 2594, 327
68031336, 2570, 327
68044880, 2570, 323
68051548, 2568, 323
68070628, 2568, 329
68092232, 1275, 329
68096604, 1275, 325
68112844, 2518, 325
68122760, 2518, 324
68133520, 2510, 324
68149248, 2510, 319
68154408, 2485, 319
68175308, 2483, 319
68177008, 2483, 305
68196300, 2473, 305
68202756, 2473, 329
68217364, 2464, 329
68229208, 2464, 319
68238576, 2447, 319
68256128, 2447, 314
68259888, 2436, 314
68281412, 2411, 314
68283284, 2411, 312
68303036, 2400, 312
68310784, 2400, 308
68366336, 2372, 304
68368656, 2355, 304
68390692, 2355, 304
68394100, 2355, 305
68412932, 2333, 305
68422120, 2333, 302
68435212, 2329, 302
68450512, 2329, 298
68457592, 2319, 298
68479036, 2319, 297
68502672, 1150, 297
68508216, 1150, 290
68525420, 2282, 290
68537164, 2282, 292
68548292, 2269, 292
68566188, 2269, 291
68571244, 2262, 291
68594236, 2257, 291
68595936, 2257, 285
68617396, 2241, 285
68625108, 2241, 290
68640716, 2225, 290
68655232, 2225, 281
68664160, 2214, 281
68685608, 2214, 279
68687668, 2208, 279
68711244, 2201, 279
68716052, 2201, 278
68734784, 2205, 278
68746484, 2205, 278
68758504, 2188, 278
68777240, 2188, 275
68782492, 2164, 275
68806608, 2152, 275
68808752, 2152, 269
68830768, 2148, 269
68840460, 2148, 267
68855104, 2133, 267
68872600, 2133, 263
68879580, 2121, 263
68904176, 2110, 263
68905864, 2110, 254
68928884, 2101, 254
